Date,All in employment,Public sector,Private sector,"Agriculture, forestry & fishing","Mining, energy and water supply",Manufacturing,Construction,"Wholesale, retail & repair of motor vehicles",Transport & storage,Accommod-ation & food services,Information & communication,Financial & insurance activities,Real estate activities,"Professional, scientific & technical activities",Administrative & support services,Public admin & defence; social security,Education,Human health & social work activities,Other services
1/1/97,26245.00,6075.00,19956.00,407.00,368.00,4370.00,1891.00,3993.00,1342.00,1275.00,743.00,1164.00,197.00,1498.00,1032.00,1534.00,2143.00,2869.00,"1,302"
4/1/97,26444.00,6061.00,20234.00,426.00,366.00,4343.00,1927.00,3964.00,1362.00,1309.00,773.00,1177.00,203.00,1529.00,1054.00,1523.00,2122.00,2924.00,"1,331"
7/1/97,26707.00,6004.00,20558.00,416.00,372.00,4420.00,1945.00,4020.00,1399.00,1368.00,774.00,1176.00,198.00,1547.00,1063.00,1499.00,2051.00,3012.00,"1,340"
10/1/97,26695.00,6059.00,20490.00,389.00,370.00,4385.00,2014.00,4052.00,1401.00,1311.00,799.00,1156.00,194.00,1527.00,1097.00,1502.00,2090.00,2972.00,"1,322"
1/1/98,26546.00,6045.00,20371.00,374.00,367.00,4317.00,1970.00,3997.00,1372.00,1267.00,829.00,1177.00,191.00,1556.00,1102.00,1497.00,2131.00,2971.00,"1,325"
4/1/98,26642.00,6062.00,20469.00,385.00,365.00,4360.00,1964.00,3955.00,1405.00,1315.00,826.00,1181.00,191.00,1537.00,1081.00,1510.00,2164.00,2966.00,"1,351"
7/1/98,26969.00,6025.00,20819.00,375.00,377.00,4392.00,1984.00,3998.00,1469.00,1327.00,846.00,1175.00,188.00,1585.00,1160.00,1532.00,2092.00,3038.00,"1,356"
10/1/98,27017.00,6037.00,20848.00,339.00,389.00,4320.00,2017.00,4089.00,1485.00,1271.00,878.00,1159.00,191.00,1618.00,1141.00,1534.00,2191.00,2974.00,"1,340"
1/1/99,26909.00,6087.00,20690.00,332.00,387.00,4260.00,1956.00,4044.00,1440.00,1228.00,896.00,1169.00,205.00,1651.00,1138.00,1527.00,2283.00,2979.00,"1,315"
4/1/99,27023.00,6162.00,20735.00,340.00,380.00,4185.00,1992.00,4063.00,1431.00,1235.00,915.00,1145.00,193.00,1639.00,1187.00,1578.00,2313.00,2992.00,"1,345"
7/1/99,27351.00,6111.00,21109.00,350.00,392.00,4243.00,2009.00,4125.00,1480.00,1262.00,939.00,1176.00,211.00,1663.00,1227.00,1568.00,2238.00,2998.00,"1,382"
10/1/99,27385.00,6171.00,21065.00,328.00,394.00,4198.00,2028.00,4145.00,1471.00,1240.00,954.00,1192.00,199.00,1654.00,1231.00,1591.00,2290.00,2986.00,"1,388"
1/1/00,27239.00,6213.00,20907.00,323.00,386.00,4099.00,2013.00,4106.00,1472.00,1202.00,970.00,1198.00,192.00,1642.00,1234.00,1610.00,2373.00,2949.00,"1,376"
4/1/00,27399.00,6254.00,21024.00,335.00,405.00,4066.00,2051.00,4082.00,1475.00,1227.00,995.00,1194.00,190.00,1651.00,1237.00,1645.00,2349.00,2994.00,"1,406"
7/1/00,27685.00,6254.00,21301.00,337.00,402.00,4062.00,2075.00,4091.00,1533.00,1278.00,1032.00,1240.00,196.00,1664.00,1288.00,1685.00,2289.00,3030.00,"1,401"
10/1/00,27611.00,6366.00,21122.00,326.00,400.00,4001.00,2062.00,4087.00,1545.00,1240.00,1056.00,1250.00,208.00,1622.00,1260.00,1721.00,2371.00,3000.00,"1,374"
1/1/01,27505.00,6386.00,20993.00,304.00,417.00,3949.00,2046.00,4071.00,1509.00,1208.00,1071.00,1228.00,211.00,1652.00,1265.00,1740.00,2372.00,3023.00,"1,338"
4/1/01,27643.00,6394.00,21141.00,298.00,402.00,3919.00,2096.00,4035.00,1531.00,1251.00,1076.00,1217.00,210.00,1649.00,1290.00,1782.00,2355.00,3109.00,"1,328"
7/1/01,27838.00,6280.00,21440.00,312.00,412.00,3924.00,2142.00,4075.00,1538.00,1291.00,1089.00,1250.00,212.00,1643.00,1347.00,1782.00,2276.00,3088.00,"1,381"
10/1/01,27860.00,6350.00,21392.00,288.00,408.00,3914.00,2150.00,4084.00,1547.00,1282.00,1068.00,1247.00,214.00,1681.00,1325.00,1802.00,2345.00,3083.00,"1,337"
1/1/02,27688.00,6383.00,21188.00,284.00,400.00,3826.00,2112.00,4034.00,1547.00,1288.00,1011.00,1243.00,226.00,1712.00,1314.00,1804.00,2415.00,3077.00,"1,317"
4/1/02,27873.00,6460.00,21309.00,279.00,419.00,3784.00,2102.00,4067.00,1556.00,1355.00,990.00,1267.00,217.00,1699.00,1325.00,1810.00,2467.00,3104.00,"1,358"
7/1/02,28051.00,6470.00,21470.00,274.00,419.00,3824.00,2160.00,4134.00,1559.00,1342.00,1012.00,1270.00,217.00,1700.00,1307.00,1827.00,2406.00,3131.00,"1,405"
10/1/02,28164.00,6480.00,21556.00,256.00,409.00,3816.00,2182.00,4244.00,1565.00,1306.00,1018.00,1232.00,208.00,1744.00,1277.00,1839.00,2475.00,3141.00,"1,385"
1/1/03,28002.00,6560.00,21299.00,272.00,378.00,3654.00,2163.00,4216.00,1547.00,1309.00,1004.00,1252.00,205.00,1692.00,1265.00,1860.00,2538.00,3172.00,"1,404"
4/1/03,28166.00,6549.00,21431.00,260.00,370.00,3607.00,2219.00,4218.00,1586.00,1276.00,1010.00,1251.00,207.00,1723.00,1230.00,1866.00,2584.00,3218.00,"1,477"
7/1/03,28366.00,6569.00,21655.00,276.00,379.00,3512.00,2300.00,4288.00,1543.00,1339.00,1033.00,1271.00,216.00,1717.00,1270.00,1881.00,2549.00,3240.00,"1,487"
10/1/03,28358.00,6660.00,21553.00,271.00,359.00,3432.00,2280.00,4390.00,1529.00,1314.00,1027.00,1238.00,207.00,1746.00,1241.00,1888.00,2599.00,3282.00,"1,480"
1/1/04,28371.00,6783.00,21452.00,261.00,369.00,3388.00,2298.00,4243.00,1520.00,1329.00,1044.00,1216.00,228.00,1755.00,1255.00,1887.00,2700.00,3336.00,"1,462"
4/1/04,28407.00,6836.00,21451.00,264.00,377.00,3321.00,2314.00,4246.00,1518.00,1318.00,1045.00,1206.00,244.00,1722.00,1267.00,1894.00,2722.00,3401.00,"1,467"
7/1/04,28627.00,6872.00,21636.00,273.00,410.00,3394.00,2372.00,4252.00,1525.00,1333.00,1049.00,1201.00,234.00,1695.00,1300.00,1951.00,2674.00,3418.00,"1,457"
10/1/04,28728.00,6880.00,21699.00,271.00,401.00,3375.00,2403.00,4326.00,1536.00,1302.00,1028.00,1192.00,242.00,1722.00,1323.00,1923.00,2718.00,3420.00,"1,455"
1/1/05,28705.00,6957.00,21599.00,288.00,401.00,3306.00,2397.00,4253.00,1535.00,1302.00,1026.00,1219.00,224.00,1735.00,1350.00,1953.00,2733.00,3469.00,"1,413"
